TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
0.0,0,10055.77,16858.29,166.07,5.1,0.0,288088612#0_0,0.0
1.0,0,10056.35,16855.95,166.07,7.51,2.41,288088612#0_0,0.0
1.0,1,7268.33,13378.84,232.86,5.1,0.0,-347355524#0_0,0.0
2.0,0,10057.28,16852.19,166.07,11.39,3.87,288088612#0_0,0.0
2.0,1,7266.77,13377.66,232.86,7.06,1.96,-347355524#0_0,0.0
2.0,2,465.57,9993.49,53.04,5.1,0.0,347355524#0_0,0.0
3.0,0,10058.8,16846.07,166.07,17.69,6.3,288088612#0_0,0.0
3.0,1,7263.23,13374.97,232.86,11.5,4.44,-347355524#0_0,0.0
3.0,2,467.0,9994.18,57.87,6.68,1.58,347355524#0_0,0.0
3.0,3,7069.56,14060.94,162.4,5.1,0.0,602247752_0,0.0
4.0,0,10060.83,16837.9,166.07,26.11,8.43,288088612#0_0,0.0
4.0,1,7258.59,13371.46,232.86,17.33,5.83,-347355524#0_0,0.0
4.0,2,470.56,9995.9,64.22,10.64,3.96,347355524#0_0,0.0
4.0,3,7069.59,14058.82,179.39,7.22,2.12,602247752_0,0.0
4.0,4,15238.81,15285.94,272.09,5.1,0.0,-803864266_0,0.0
5.0,0,10063.29,16827.98,166.07,36.33,10.22,288088612#0_0,0.0
5.0,1,7252.04,13366.5,232.86,25.54,8.21,-347355524#0_0,0.0
5.0,2,475.57,9998.32,64.22,16.2,5.57,347355524#0_0,0.0
5.0,3,7069.74,14054.28,178.12,11.77,4.55,602247752_0,0.0
5.0,4,15237.06,15286.0,272.09,6.85,1.75,-803864266_0,0.0
5.0,5,13629.08,5.33,337.64,5.1,0.0,-288088612#6_0,0.0
6.0,0,10066.36,16815.58,166.07,49.1,12.77,288088612#0_0,0.0
6.0,1,7244.35,13360.67,232.86,35.19,9.65,-347355524#0_0,0.0
6.0,2,482.61,10001.72,64.22,24.02,7.82,347355524#0_0,0.0
6.0,3,7069.98,14047.9,177.86,18.15,6.38,602247752_0,0.0
6.0,4,15233.41,15286.13,272.09,10.51,3.66,-803864266_0,0.0
6.0,5,13628.13,7.63,337.64,7.59,2.49,-288088612#6_0,0.0
6.0,6,20875.57,19636.94,226.95,5.1,0.0,-1002123620#6_0,0.0
7.0,0,10069.9,16801.33,166.07,63.78,14.68,288088612#0_0,0.0
7.0,1,7235.54,13354.0,232.86,46.24,11.06,-347355524#0_0,0.0
7.0,2,491.64,10006.08,64.22,34.05,10.03,347355524#0_0,0.0
7.0,3,7070.3,14039.42,177.86,26.64,8.49,602247752_0,0.0
7.0,4,15227.67,15286.34,272.09,16.25,5.75,-803864266_0,0.0
7.0,5,13626.47,11.66,337.64,11.95,4.36,-288088612#6_0,0.0
7.0,6,20874.61,19636.04,226.95,6.42,1.32,-1002123620#6_0,0.0
7.0,7,10545.07,12219.52,177.41,5.1,0.0,288088612#5_0,0.0
8.0,0,10073.82,16785.54,166.07,80.06,16.27,288088612#0_0,0.0
8.0,1,7225.08,13346.07,232.86,59.37,13.12,-347355524#0_0,0.0
8.0,2,502.6,10011.38,64.22,46.22,12.17,347355524#0_0,0.0
8.0,3,7070.71,14028.47,177.86,37.6,10.96,602247752_0,0.0
8.0,4,15220.34,15286.61,272.09,23.58,7.33,-803864266_0,0.0
8.0,5,13623.85,18.05,337.64,18.85,6.9,-288088612#6_0,0.0
8.0,6,20872.27,19633.86,226.95,9.62,3.2,-1002123620#6_0,0.0
8.0,7,10545.15,12217.75,177.41,6.86,1.76,288088612#5_0,0.0
8.0,8,6550.59,10147.56,132.02,5.1,0.0,-288088613#0_0,0.0
9.0,0,10078.04,16768.54,166.07,97.57,17.52,288088612#0_0,0.0
9.0,1,7213.38,13337.21,232.86,74.04,14.67,-347355524#0_0,0.0
9.0,2,514.97,10017.35,64.22,59.96,13.73,347355524#0_0,0.0
9.0,3,7071.21,14015.01,177.86,51.06,13.47,602247752_0,0.0
9.0,4,15211.42,15286.65,270.0,32.51,8.92,-803864266_0,0.0
9.0,5,13620.38,26.48,337.64,27.97,9.12,-288088612#6_0,0.0
9.0,6,20868.46,19630.29,226.95,14.84,5.22,-1002123620#6_0,0.0
9.0,7,10545.34,12213.52,177.41,11.1,4.24,288088612#5_0,0.0
9.0,8,6551.87,10146.4,132.02,6.83,1.73,-288088613#0_0,0.0
9.0,9,24163.18,13386.37,254.4,5.1,0.0,347355525#0_0,0.0
10.0,0,10082.21,16751.71,166.07,114.91,17.34,288088612#0_0,0.0
10.0,1,7199.61,13326.79,232.86,91.31,17.27,-347355524#0_0,0.0
10.0,2,528.87,10024.07,64.22,75.4,15.44,347355524#0_0,0.0
10.0,3,7071.68,14000.11,178.85,65.97,14.91,602247752_0,0.0
10.0,4,15200.41,15286.65,270.0,43.52,11.01,-803864266_0,0.0
10.0,5,13615.98,37.16,337.64,39.53,11.55,-288088612#6_0,0.0
10.0,6,20863.41,19625.58,226.95,21.74,6.9,-1002123620#6_0,0.0
10.0,7,10545.62,12207.33,177.41,17.3,6.2,288088612#5_0,0.0
10.0,8,6554.53,10144.0,132.02,10.41,3.58,-288088613#0_0,0.0
10.0,9,24161.37,13385.86,254.4,6.98,1.88,347355525#0_0,0.0
11.0,0,10086.41,16734.79,166.07,132.34,17.43,288088612#0_0,0.0
11.0,1,7184.22,13315.13,232.86,110.62,19.31,-347355524#0_0,0.0
11.0,11,9416.93,17462.23,90.76,5.1,0.0,-347355525#6_0,0.0
11.0,2,543.97,10031.36,64.22,92.17,16.77,347355524#0_0,0.0
11.0,3,7071.7,13985.23,179.92,80.85,14.88,602247752_0,0.0
11.0,4,15187.69,15286.18,264.64,56.27,12.75,-803864266_0,0.0
11.0,5,13610.84,49.64,337.64,53.02,13.5,-288088612#6_0,0.0
11.0,6,20856.7,19619.31,226.95,30.93,9.19,-1002123620#6_0,0.0
11.0,7,10546.01,12198.71,177.41,25.93,8.63,288088612#5_0,0.0
11.0,8,6558.83,10140.13,132.02,16.2,5.79,-288088613#0_0,0.0
11.0,9,24157.69,13384.84,254.4,10.8,3.82,347355525#0_0,0.0
12.0,0,10090.52,16718.24,166.07,149.4,17.06,288088612#0_0,0.0
12.0,1,7168.55,13303.26,232.86,130.28,19.66,-347355524#0_0,0.0
12.0,10,24163.18,13386.37,254.4,5.1,0.0,347355525#0_0,0.0
12.0,11,9419.45,17462.2,90.76,7.62,2.52,-347355525#6_0,0.0
