,Car1,Car2,Car3,Car4,Car5,Car6,Car7,Car8,Car9
0,77.0,52.0,51.0,51.0,34.0,26.0,29.0,31.0,23.0
1,77.0,52.0,52.0,44.0,32.0,26.0,28.0,32.0,21.0
2,77.0,53.0,49.0,44.0,34.0,27.0,28.0,31.0,22.0
3,77.0,52.0,49.0,53.0,36.0,31.0,24.0,30.0,22.0
4,77.0,52.0,49.0,45.0,37.0,32.0,26.0,30.0,21.0
5,77.0,53.0,48.0,44.0,38.0,31.0,23.0,29.0,21.0
6,73.0,53.0,48.0,41.0,36.0,34.0,26.0,29.0,17.0
7,73.0,52.0,48.0,42.0,33.0,30.0,26.0,25.0,20.0
8,74.0,51.0,49.0,42.0,38.0,30.0,23.0,24.0,23.0
9,74.0,52.0,49.0,44.0,35.0,31.0,22.0,26.0,23.0
10,75.0,52.0,49.0,42.0,33.0,29.0,24.0,27.0,21.0
11,75.0,52.0,49.0,46.0,36.0,30.0,25.0,27.0,20.0
12,75.0,53.0,45.0,45.0,31.0,29.0,23.0,27.0,21.0
13,74.0,53.0,49.0,37.0,33.0,27.0,26.0,25.0,19.0
14,75.0,52.0,49.0,47.0,34.0,27.0,28.0,29.0,15.0
15,75.0,52.0,49.0,38.0,36.0,30.0,27.0,26.0,11.0
16,76.0,53.0,49.0,37.0,33.0,32.0,26.0,28.0,12.0
17,76.0,52.0,48.0,44.0,30.0,25.0,27.0,32.0,14.0
18,76.0,53.0,48.0,53.0,33.0,25.0,29.0,28.0,19.0
19,76.0,52.0,47.0,45.0,33.0,26.0,25.0,26.0,22.0
20,76.0,53.0,45.0,45.0,31.0,31.0,27.0,29.0,21.0
21,77.0,53.0,48.0,49.0,33.0,31.0,28.0,27.0,20.0
22,77.0,53.0,49.0,48.0,34.0,35.0,28.0,29.0,21.0
23,78.0,52.0,52.0,47.0,36.0,36.0,27.0,28.0,23.0
24,77.0,52.0,52.0,51.0,37.0,33.0,29.0,27.0,24.0
25,76.0,52.0,51.0,50.0,34.0,27.0,26.0,26.0,25.0
26,75.0,52.0,49.0,49.0,34.0,28.0,25.0,27.0,21.0
27,75.0,53.0,52.0,53.0,32.0,31.0,26.0,25.0,22.0
28,76.0,52.0,51.0,52.0,37.0,27.0,25.0,24.0,21.0
29,76.0,51.0,51.0,47.0,33.0,26.0,23.0,25.0,22.0
30,76.0,52.0,51.0,48.0,34.0,31.0,26.0,25.0,20.0
31,75.0,52.0,47.0,46.0,35.0,30.0,18.0,27.0,19.0
32,76.0,53.0,49.0,47.0,32.0,31.0,24.0,27.0,14.0
33,76.0,52.0,50.0,42.0,33.0,31.0,22.0,24.0,13.0
34,77.0,53.0,46.0,42.0,37.0,30.0,23.0,24.0,19.0
35,77.0,52.0,48.0,43.0,35.0,37.0,23.0,27.0,23.0
36,75.0,52.0,47.0,47.0,32.0,30.0,24.0,27.0,21.0
37,75.0,52.0,49.0,47.0,37.0,34.0,26.0,28.0,21.0
38,75.0,51.0,49.0,41.0,32.0,28.0,21.0,27.0,23.0
39,75.0,53.0,49.0,43.0,34.0,27.0,24.0,27.0,22.0
40,75.0,53.0,48.0,47.0,32.0,23.0,24.0,23.0,20.0
41,75.0,52.0,48.0,47.0,31.0,33.0,29.0,27.0,26.0
42,75.0,52.0,51.0,53.0,30.0,29.0,26.0,26.0,22.0
43,76.0,52.0,51.0,51.0,32.0,29.0,23.0,27.0,17.0
44,74.0,52.0,50.0,48.0,30.0,30.0,23.0,29.0,21.0
45,76.0,52.0,47.0,45.0,39.0,22.0,22.0,29.0,25.0
46,75.0,53.0,50.0,42.0,35.0,29.0,14.0,29.0,25.0
47,75.0,53.0,48.0,47.0,34.0,31.0,22.0,23.0,24.0
